tip,cluster,timepoint
EPI_ISL_2984299,8,D
EPI_ISL_2789600,8,D
EPI_ISL_2931941,8,D
EPI_ISL_2968167,8,D
EPI_ISL_3045707,8,D
EPI_ISL_2968195,8,D
EPI_ISL_3356077,8,D
EPI_ISL_3045766,8,D
EPI_ISL_3298516,8,D
EPI_ISL_3011305,8,D
EPI_ISL_3088027,8,D
EPI_ISL_2984325,8,D
EPI_ISL_3205408,8,D
EPI_ISL_3118025,8,D
EPI_ISL_3355991,8,D
EPI_ISL_3591080,8,D
EPI_ISL_3118083,8,D
EPI_ISL_2932022,8,D
EPI_ISL_2821190,8,D
EPI_ISL_3535425,8,D
EPI_ISL_2968280,8,D
EPI_ISL_2968263,8,D
EPI_ISL_2893035,8,D
EPI_ISL_2789618,8,D
EPI_ISL_2862391,8,D
EPI_ISL_2893124,8,D
EPI_ISL_3088156,8,D
EPI_ISL_2789717,8,D
EPI_ISL_3136355,8,D
EPI_ISL_3011511,8,D
EPI_ISL_3011542,8,D
EPI_ISL_3011416,8,D
EPI_ISL_2789552,8,D
EPI_ISL_3011529,8,D
EPI_ISL_3136426,8,D
EPI_ISL_3154483,8,D
EPI_ISL_3356126,8,D
EPI_ISL_3088033,8,D
EPI_ISL_2968256,8,D
EPI_ISL_3045609,8,D
EPI_ISL_3088165,8,D
EPI_ISL_3154643,8,D
EPI_ISL_3011369,8,D
EPI_ISL_3118209,8,D
EPI_ISL_2984307,8,D
EPI_ISL_3088206,8,D
EPI_ISL_3136298,8,D
EPI_ISL_3088146,8,D
EPI_ISL_3088166,8,D
EPI_ISL_3205205,8,D
EPI_ISL_3058357,8,D
EPI_ISL_3118076,8,D
EPI_ISL_2862370,8,D
EPI_ISL_3154605,8,D
EPI_ISL_2834141,8,D
EPI_ISL_3045657,8,D
EPI_ISL_3118164,8,D
EPI_ISL_3088203,8,D
EPI_ISL_2789646,8,D
EPI_ISL_3011544,8,D
EPI_ISL_3118009,8,D
EPI_ISL_3467500,8,D
EPI_ISL_3671977,8,D
EPI_ISL_2932170,8,D
EPI_ISL_2893159,8,D
EPI_ISL_3247737,8,D
EPI_ISL_3058428,8,D
EPI_ISL_3088214,8,D
EPI_ISL_3088186,8,D
EPI_ISL_2984399,8,D
EPI_ISL_3253004,8,D
EPI_ISL_3087995,8,D
EPI_ISL_2862415,8,D
EPI_ISL_3374997,8,D
EPI_ISL_3058384,8,D
EPI_ISL_3204896,8,D
EPI_ISL_3058338,8,D
EPI_ISL_2931934,8,D
